name,point_a,point_b,road_distance_m,straight_line_m,detour_ratio,gh_travel_time_ms,request_latency_ms
Bangalore to Mysore,"(12.9716, 77.5946)","(12.2958, 76.6394)",142447.8,128016.9,1.113,6428219,2049.7
Hubli to Dharwad,"(15.3647, 75.1239)","(15.4589, 75.006)",17493.8,16414.8,1.066,960068,2054.0
Kochi to Thiruvananthapuram,"(9.9312, 76.2673)","(8.5241, 76.9366)",207128.4,172848.2,1.198,10788596,2067.2
Kozhikode to Kannur,"(11.2588, 75.7804)","(11.8745, 75.3704)",91318.7,81743.5,1.117,5260754,2052.4
Chennai to Pondicherry,"(13.0827, 80.2707)","(11.9416, 79.8083)",149400.3,136452.1,1.095,8902907,2073.5
Madurai to Tiruchirappalli,"(9.9252, 78.1198)","(10.7905, 78.7047)",124725.9,115545.7,1.079,6885559,2065.8
blr_urban_route_1,"(12.9719, 77.6412)","(12.932, 77.6227)",5817.9,4868.6,1.195,399967,2035.0
blr_urban_route_2,"(13.0081, 77.5648)","(12.9709, 77.5658)",5638.7,4137.9,1.363,397906,2073.2
che_urban_route_1,"(13.0827, 80.2707)","(13.0136, 80.2393)",10453.4,8402.8,1.244,774421,2078.4
che_urban_route_2,"(13.14096, 80.24818)","(13.0827, 80.2707)",9545.5,6922.1,1.379,594001,2065.4
hyd_urban_route_1,"(17.383912, 78.47083)","(17.409755, 78.488209)",5668.6,3414.4,1.66,438722,2078.9
hyd_urban_route_2,"(17.34613, 78.550752)","(17.462149, 78.429523)",23302.2,18217.7,1.279,1562927,2083.4
